Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY),
1685002686,101.jpg,578153,1504x1504,1,8,0.5774,578.153,281.06594,2.95E-05,0.000873654,
1685002687,102.jpg,548753,1504x1504,1,6,0.55953,548.753,216.21418,2.81E-05,0.000672302,
1685002689,103.jpg,518756,1504x1504,1,7,0.53503,518.756,205.98197,2.66E-05,0.000640533,
1685002690,104.jpg,526535,1504x1504,1,7,0.55851,526.535,222.54324,2.70E-05,0.000691952,
1685002691,105.jpg,476418,1504x1504,1,7,0.49872,476.418,212.73303,2.43E-05,0.000661494,
1685002692,106.jpg,525931,1504x1504,1,7,0.56909,525.931,208.51088,2.69E-05,0.000648385,
1685002694,107.jpg,716750,1504x1504,2,7,0.39265,716.75,364.33005,3.67E-05,0.001132172,
1685002695,108.jpg,723334,1504x1504,2,7,0.41389,723.334,366.94503,3.71E-05,0.001140291,
1685002697,109.jpg,805312,1504x1504,2,8,0.47494,805.312,379.35901,4.11E-05,0.001178834,
1685002698,110.jpg,701530,1504x1504,2,8,0.44439,701.53,369.65513,3.59E-05,0.001148705,
1685002699,111.jpg,668849,1504x1504,1,8,0.83259,668.849,217.84091,3.41E-05,0.000677352,
1685002701,112.jpg,686234,1504x1504,2,9,0.39152,686.234,358.55579,3.50E-05,0.001114244,
1685002702,113.jpg,651270,1504x1504,1,9,0.7324,651.27,216.63404,3.32E-05,0.000673605,
1685002703,114.jpg,547371,1504x1504,1,9,0.65015,547.371,230.7899,2.81E-05,0.000717556,
1685002705,115.jpg,585943,1504x1504,2,9,0.34408,585.943,376.05715,2.99E-05,0.001168582,
1685002706,116.jpg,591159,1504x1504,2,11,0.35708,591.159,377.90799,3.02E-05,0.001174329,
1685002708,117.jpg,635105,1504x1504,1,10,0.78458,635.105,217.65685,3.25E-05,0.000676781,
1685002709,118.jpg,667394,1504x1504,2,11,0.38894,667.394,387.34317,3.40E-05,0.001203623,
1685002710,119.jpg,621624,1504x1504,2,11,0.35393,621.624,360.76188,3.17E-05,0.001121093,
1685002712,120.jpg,570218,1504x1504,1,8,0.6254,570.218,214.67423,2.92E-05,0.000667521,
1685002713,121.jpg,565861,1504x1504,2,7,0.30774,565.861,377.78211,2.88E-05,0.001173938,
1685002714,122.jpg,559280,1504x1504,2,8,0.31505,559.28,378.22318,2.86E-05,0.001175307,
1685002716,123.jpg,659165,1504x1504,2,10,0.36502,659.165,368.37792,3.36E-05,0.00114474,
1685002717,124.jpg,689362,1504x1504,2,8,0.39761,689.362,389.01782,3.51E-05,0.001208823,
1685002719,125.jpg,769640,1504x1504,2,9,0.44385,769.64,381.08397,3.92E-05,0.001184189,
1685002720,126.jpg,778590,1504x1504,2,9,0.45284,778.59,402.49395,3.97E-05,0.001250663,
1685002722,127.jpg,757678,1504x1504,2,8,0.45097,757.678,381.11162,3.86E-05,0.001184275,
1685002723,128.jpg,713039,1504x1504,2,8,0.41706,713.039,378.12209,3.64E-05,0.001174993,
1685002725,129.jpg,780304,1504x1504,2,9,0.44169,780.304,395.48087,3.98E-05,0.001228889,
1685002726,130.jpg,743342,1504x1504,2,10,0.48217,743.342,393.07618,3.79E-05,0.001221423,
1685002727,131.jpg,711566,1504x1504,2,11,0.42897,711.566,375.90194,3.62E-05,0.0011681,
1685002729,132.jpg,642701,1504x1504,2,11,0.36377,642.701,370.31007,3.28E-05,0.001150739,
1685002730,133.jpg,699082,1504x1504,2,10,0.39334,699.082,384.68194,3.57E-05,0.00119536,
1685002732,134.jpg,745757,1504x1504,2,10,0.43726,745.757,366.6501,3.80E-05,0.001139375,
1685002733,135.jpg,730167,1504x1504,2,11,0.44284,730.167,373.0278,3.72E-05,0.001159177,
1685002735,136.jpg,699158,1504x1504,2,8,0.43025,699.158,361.53507,3.57E-05,0.001123494,
1685002736,137.jpg,697291,1504x1504,2,7,0.42052,697.291,378.16286,3.56E-05,0.00117512,
1685002738,138.jpg,725896,1504x1504,2,7,0.44729,725.896,375.91815,3.70E-05,0.001168151,
1685002739,139.jpg,760087,1504x1504,2,7,0.45218,760.087,382.13301,3.88E-05,0.001187447,
1685002740,140.jpg,737965,1504x1504,2,9,0.42729,737.965,378.1662,3.76E-05,0.00117513,
1685002742,141.jpg,648281,1504x1504,2,9,0.35653,648.281,393.06426,3.30E-05,0.001221386,
1685002743,142.jpg,626125,1504x1504,2,9,0.36461,626.125,352.61965,3.20E-05,0.001095813,
1685002745,143.jpg,662042,1504x1504,2,9,0.36719,662.042,375.09489,3.38E-05,0.001165595,
1685002746,144.jpg,662021,1504x1504,2,8,0.37185,662.021,385.61487,3.38E-05,0.001198257,
1685002748,145.jpg,635008,1504x1504,2,9,0.35225,635.008,384.11689,3.24E-05,0.001193606,
1685002749,146.jpg,641005,1504x1504,1,8,0.71044,641.005,239.50624,3.27E-05,0.000744619,
1685002750,147.jpg,674527,1504x1504,2,8,0.36713,674.527,389.72592,3.44E-05,0.001211021,
1685002752,148.jpg,708357,1504x1504,2,9,0.37541,708.357,369.86279,3.60E-05,0.00114935,
1685002753,149.jpg,712862,1504x1504,2,8,0.37172,712.862,381.45995,3.63E-05,0.001185357,
1685002755,150.jpg,698675,1504x1504,2,8,0.37246,698.675,397.54391,3.56E-05,0.001235294,
1685002756,151.jpg,661386,1504x1504,2,8,0.36409,661.386,373.01111,3.37E-05,0.001159125,
1685002758,152.jpg,651775,1504x1504,2,9,0.36607,651.775,374.11809,3.33E-05,0.001162562,
1685002759,153.jpg,614586,1504x1504,1,10,0.71657,614.586,225.79384,3.13E-05,0.000702045,
1685002760,154.jpg,681051,1504x1504,2,9,0.40583,681.051,403.52821,3.47E-05,0.001253874,
1685002762,155.jpg,683281,1504x1504,2,10,0.40515,683.281,373.88015,3.49E-05,0.001161823,
1685002763,156.jpg,754214,1504x1504,2,10,0.43642,754.214,370.749,3.84E-05,0.001152101,
1685002765,157.jpg,727040,1504x1504,2,10,0.42993,727.04,374.8529,3.70E-05,0.001164843,
1685002766,158.jpg,801790,1504x1504,2,10,0.47754,801.79,394.42205,4.09E-05,0.001225602,
1685002768,159.jpg,765978,1504x1504,2,10,0.47082,765.978,376.13416,3.91E-05,0.001168821,
1685002769,160.jpg,730746,1504x1504,2,10,0.44623,730.746,387.99906,3.73E-05,0.001205659,
1685002770,161.jpg,810477,1504x1504,2,10,0.52316,810.477,378.24202,4.13E-05,0.001175366,
1685002772,162.jpg,848862,1504x1504,2,9,0.5529,848.862,384.01222,4.32E-05,0.001193281,
1685002773,163.jpg,801427,1504x1504,2,10,0.51029,801.427,378.30186,4.09E-05,0.001175552,
1685002775,164.jpg,790612,1504x1504,2,10,0.47251,790.612,398.84901,4.03E-05,0.001239346,
1685002776,165.jpg,785906,1504x1504,2,10,0.46761,785.906,382.2732,4.01E-05,0.001187882,
1685002778,166.jpg,797114,1504x1504,2,10,0.45929,797.114,381.95562,4.06E-05,0.001186896,
1685002779,167.jpg,734880,1504x1504,2,10,0.44038,734.88,379.27699,3.75E-05,0.001178579,
1685002781,168.jpg,823085,1504x1504,2,10,0.47234,823.085,397.07112,4.20E-05,0.001233826,
1685002782,169.jpg,800445,1504x1504,2,10,0.4414,800.445,380.88608,4.08E-05,0.001183575,
1685002784,170.jpg,824411,1504x1504,2,9,0.51031,824.411,383.30603,4.20E-05,0.001191089,
1685002785,171.jpg,916267,1504x1504,3,9,0.38154,916.267,540.905,4.70E-05,0.001680402,
1685002787,172.jpg,769885,1504x1504,2,9,0.48607,769.885,375.97513,3.93E-05,0.001168328,
1685002788,173.jpg,770428,1504x1504,2,9,0.48296,770.428,376.31488,3.93E-05,0.001169382,
1685002789,174.jpg,695723,1504x1504,2,9,0.45816,695.723,371.56296,3.55E-05,0.001154629,
1685002791,175.jpg,653668,1504x1504,2,9,0.39278,653.668,375.64492,3.33E-05,0.001167302,
1685002792,176.jpg,723212,1504x1504,2,9,0.4706,723.212,371.30976,3.69E-05,0.001153843,
1685002794,177.jpg,723706,1504x1504,2,10,0.46694,723.706,382.4811,3.69E-05,0.001188527,
1685002795,178.jpg,779672,1504x1504,2,8,0.50583,779.672,389.03499,3.97E-05,0.001208876,
1685002797,179.jpg,823757,1504x1504,2,10,0.52545,823.757,380.00107,4.20E-05,0.001180827,
1685002798,180.jpg,828570,1504x1504,2,9,0.57415,828.57,388.96012,4.22E-05,0.001208643,
1685002800,181.jpg,811042,1504x1504,2,10,0.53885,811.042,375.27919,4.14E-05,0.001166167,
1685002801,182.jpg,646957,1504x1504,2,10,0.44064,646.957,363.1382,3.30E-05,0.001128471,
1685002802,183.jpg,676445,1504x1504,2,10,0.45715,676.445,370.58306,3.45E-05,0.001151586,
1685002804,184.jpg,726727,1504x1504,2,10,0.47847,726.727,373.2543,3.71E-05,0.00115988,
