Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY)
1685003184.190537,101.jpg,578153,2016x2016,1,8,0.32136,578.153,354.70605,2.9474308485510255e-05,0.0011022913408279419
1685003185.599169,102.jpg,548753,2016x2016,1,6,0.31141,548.753,311.48601,2.812339121530762e-05,0.0009681017507553101
1685003186.982356,103.jpg,518756,2016x2016,1,7,0.29778,518.756,310.80604,2.674650654407959e-05,0.0009659905805587768
1685003188.362277,104.jpg,526535,2016x2016,1,7,0.31084,526.535,311.17797,2.7105804995849607e-05,0.0009671453580856323
1685003189.732904,105.jpg,476418,2016x2016,1,7,0.27757,476.418,301.59593,2.4312940905584718e-05,0.0009373950319290161
1685003191.0870872,106.jpg,525931,2016x2016,1,7,0.31674,525.931,316.55979,2.6850438320355227e-05,0.00098385484085083
1685003192.470758,107.jpg,716750,2016x2016,1,7,0.43707,716.75,325.82974,3.653876283493042e-05,0.0010126361902236937
1685003193.8470132,108.jpg,723334,2016x2016,1,7,0.46072,723.334,328.44305,3.6802909714801025e-05,0.0010207499828338623
1685003195.235538,109.jpg,805312,2016x2016,1,8,0.52867,805.312,336.58695,4.1053711942834474e-05,0.0010460351692199706
1685003196.62671,110.jpg,701530,2016x2016,1,8,0.49466,701.53,329.21124,3.5711435585998536e-05,0.0010231350425720213
1685003198.016644,111.jpg,668849,2016x2016,1,8,0.46339,668.849,323.22884,3.411544471589966e-05,0.0010045608901977539
1685003199.400743,112.jpg,686234,2016x2016,1,9,0.43581,686.234,326.31302,3.501609195845337e-05,0.0010141366607666015
1685003200.788945,113.jpg,651270,2016x2016,1,9,0.40763,651.27,323.79508,3.325404295846558e-05,0.0010063189649581908
1685003202.179393,114.jpg,547371,2016x2016,1,9,0.36185,547.371,313.49301,2.7935981044537358e-05,0.0009743331079483033
1685003203.5394812,115.jpg,585943,2016x2016,1,9,0.383,585.943,323.65203,2.983448064053955e-05,0.0010058748197555542
1685003204.911384,116.jpg,591159,2016x2016,1,11,0.39748,591.159,311.95688,3.016214341246338e-05,0.0009695637287139893
1685003206.286079,117.jpg,635105,2016x2016,1,10,0.43667,635.105,321.16294,3.243453236807251e-05,0.0009981466932296752
1685003207.668177,118.jpg,667394,2016x2016,1,11,0.43294,667.394,322.56889,3.407471667476197e-05,0.0010025119003295897
1685003209.054176,119.jpg,621624,2016x2016,1,11,0.39397,621.624,320.9641,3.172601926530762e-05,0.0009975293313980102
1685003210.434206,120.jpg,570218,2016x2016,1,8,0.34808,570.218,319.13018,2.909264813046875e-05,0.0009918353899002075
1685003211.8041542,121.jpg,565861,2016x2016,1,7,0.34255,565.861,315.3832,2.8806684692333983e-05,0.000980201746559143
1685003213.169539,122.jpg,559280,2016x2016,1,8,0.35069,559.28,342.77081,2.8544119388793946e-05,0.0010652348260879515
1685003214.577729,123.jpg,659165,2016x2016,1,10,0.40631,659.165,343.99199,3.362045748828125e-05,0.0010690263456344603
1685003215.9755719,124.jpg,689362,2016x2016,1,8,0.44259,689.362,318.60709,3.5082485470208745e-05,0.0009902112989425658
1685003217.352372,125.jpg,769640,2016x2016,1,9,0.49406,769.64,345.77084,3.921515880404663e-05,0.001074549291229248
1685003218.7584279,126.jpg,778590,2016x2016,1,9,0.50406,778.59,334.45191,3.963447696902466e-05,0.0010394063020706175
1685003220.1565812,127.jpg,757678,2016x2016,1,8,0.50199,757.678,348.99569,3.8630913161871336e-05,0.0010845618045806885
1685003221.556748,128.jpg,713039,2016x2016,1,8,0.46424,713.039,329.89383,3.628583420674438e-05,0.0010252543554306029
1685003222.930083,129.jpg,780304,2016x2016,1,9,0.49166,780.304,336.02166,3.971188306129761e-05,0.001044280055427551
1685003224.3102112,130.jpg,743342,2016x2016,1,10,0.53671,743.342,325.0699,3.783984538497314e-05,0.0010102770389556885
1685003225.708349,131.jpg,711566,2016x2016,1,11,0.4775,711.566,327.31199,3.629655048829346e-05,0.0010172382747650145
1685003227.112401,132.jpg,642701,2016x2016,1,11,0.40492,642.701,314.33797,3.279049335844116e-05,0.0009769565256118773
1685003228.4999418,133.jpg,699082,2016x2016,1,10,0.43784,699.082,373.28601,3.5648652884851076e-05,0.0011599784002304077
1685003229.96699,134.jpg,745757,2016x2016,1,10,0.48673,745.757,334.6498,3.8009472193933105e-05,0.001040020702934265
