Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1685526769.557045,101.jpg,578153,1024x1024,2,8,0.62279,133.548,57.8153,191.3633,3.0654977697851563e-06,0.0006026070304
1685526770.814614,102.jpg,548753,1024x1024,2,6,0.60351,118.585,54.8753,173.4603,3.0581792513830567e-06,0.000535201708
1685526772.0521111,103.jpg,518756,1024x1024,2,7,0.57709,117.349,51.8756,169.2246,2.949614491077881e-06,0.0005296337752
1685526773.291837,104.jpg,526535,1024x1024,2,7,0.60241,120.761,52.6535,173.4145,2.8296454219177245e-06,0.0005450041528
1685526774.5322912,105.jpg,476418,1024x1024,2,7,0.53792,116.437,47.6418,164.0788,2.691565267850342e-06,0.0005255253976
1685526775.756785,106.jpg,525931,1024x1024,2,7,0.61383,121.413,52.5931,174.0061,2.816512309284668e-06,0.0005479412824
1685526776.99074,107.jpg,716750,1024x1024,3,7,0.56469,175.362,71.675,247.037,3.78216666015625e-06,0.0007909707376
1685526778.292107,108.jpg,723334,1024x1024,3,7,0.59524,169.451,72.3334,241.7844,3.927513042174073e-06,0.0007643428647999999
1685526779.593011,109.jpg,775477,1024x1024,3,8,0.68303,173.488,77.5477,251.0357,4.057693557186279e-06,0.0007825287424
1685526780.9079099,110.jpg,701530,1024x1024,3,8,0.6391,172.272,70.153,242.425,3.833729274847412e-06,0.0007770509056
1685526782.200415,111.jpg,668849,1024x1024,3,8,0.5987,170.022,66.8849,236.9069,3.468424478380127e-06,0.0007669151056000001
1685526783.498237,112.jpg,686234,1024x1024,3,9,0.56306,168.539,68.6234,237.1624,3.566332716124268e-06,0.0007602344872
1685526784.784105,113.jpg,651270,1024x1024,3,9,0.52665,171.752,65.127,236.879,3.363474888726807e-06,0.0007747084095999999
1685526786.076877,114.jpg,547371,1024x1024,3,9,0.46751,163.13,54.7371,217.8671,2.8558217773205566e-06,0.000735868024
1685526787.368949,115.jpg,585943,1024x1024,3,9,0.49484,166.195,58.5943,224.7893,3.0994753811010744e-06,0.000749675236
1685526788.6762,116.jpg,591159,1024x1024,3,11,0.51354,169.153,59.1159,228.2689,3.144406613432617e-06,0.0007630004344
1685526789.981285,117.jpg,635105,1024x1024,3,10,0.56418,167.398,63.5105,230.9085,3.292426749456787e-06,0.0007550945103999999
1685526791.2856698,118.jpg,667394,1024x1024,3,11,0.55936,169.651,66.7394,236.3904,3.44285347098877e-06,0.0007652438248
1685526792.593827,119.jpg,621624,1024x1024,3,11,0.50901,172.761,62.1624,234.9234,3.2985632302416995e-06,0.0007792537528
1685526793.908899,120.jpg,570218,1024x1024,2,8,0.67457,121.572,57.0218,178.5938,2.9385532384924316e-06,0.0005486575456
1685526795.15889,121.jpg,565861,1024x1024,2,7,0.66386,120.412,56.5861,176.9981,2.970583039088135e-06,0.0005434319776
1685526796.4218738,122.jpg,559280,1024x1024,2,8,0.67964,127.296,55.928,183.224,2.9451331455444336e-06,0.0005744430208
1685526797.675893,123.jpg,659165,1024x1024,3,10,0.52495,167.197,65.9165,233.1135,3.413331378100586e-06,0.0007541890456000001
1685526799.0023491,124.jpg,689362,1024x1024,3,8,0.57183,169.175,68.9362,238.1112,3.5770876106652836e-06,0.00076309954
1685526800.325139,125.jpg,769640,1024x1024,3,9,0.63832,177.826,76.964,254.79,4.027629800616455e-06,0.0008020705648000001
1685526801.654204,126.jpg,778590,1024x1024,3,9,0.65125,173.843,77.859,251.702,4.047285845019531e-06,0.0007841279464
1685526802.98908,127.jpg,757678,1024x1024,3,8,0.64856,173.762,75.7678,249.5298,3.97834469791626e-06,0.0007837630576
1685526804.317429,128.jpg,713039,1024x1024,3,8,0.59979,174.919,71.3039,246.2229,3.734694918553467e-06,0.0007889751112
1685526805.647914,129.jpg,780304,1024x1024,3,9,0.63522,170.073,78.0304,248.1034,4.087386397636719e-06,0.0007671448504
1685526806.983495,130.jpg,743342,1024x1024,3,10,0.69343,172.699,74.3342,247.0332,3.872695208968506e-06,0.0007789744552
1685526808.3033001,131.jpg,711566,1024x1024,3,11,0.61692,173.502,71.1566,244.6586,3.6981077503979494e-06,0.0007825918095999999
1685526809.623202,132.jpg,642701,1024x1024,3,11,0.52315,165.195,64.2701,229.4651,3.378395258314209e-06,0.0007451704360000001
1685526810.938943,133.jpg,699082,1024x1024,3,10,0.56569,166.218,69.9082,236.1262,3.692001423586426e-06,0.0007497788464
