Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1.760951542,101.jpg,578153,1024x1024,2,8,0.62279,47.97182,82.5058,462.5224,593.00002,0.000395441,0.000588776
3.006625709,102.jpg,548753,1024x1024,2,6,0.60351,45.71858,72.68585,439.0024,557.40683,0.000377238,0.000534388
4.235858917,103.jpg,518756,1024x1024,2,7,0.57709,41.21918,69.39495,415.0048,525.61893,0.000355442,0.000499295
5.451582042,104.jpg,526535,1024x1024,2,7,0.60241,46.132,73.23186,421.228,540.59186,0.000362275,0.00053871
6.673163584,105.jpg,476418,1024x1024,2,7,0.53792,60.47307,71.63025,381.1344,513.23773,0.000326395,0.000596099
7.910684625,106.jpg,525931,1024x1024,2,7,0.61383,44.0279,75.9753,420.7448,540.748,0.000362294,0.00054159
9.14847375,107.jpg,716750,1024x1024,3,7,0.56469,63.19064,108.72294,573.4,745.31358,0.000489973,0.000775436
10.45490417,108.jpg,723334,1024x1024,3,7,0.59524,65.91176,101.18749,578.6672,745.76644,0.000496626,0.000753749
11.76585133,109.jpg,805312,1024x1024,3,8,0.68303,95.64146,103.91983,644.2496,843.81089,0.000552391,0.000899984
13.11253608,110.jpg,701530,1024x1024,3,8,0.6391,73.90778,102.52003,561.224,737.65181,0.000481451,0.000795772
14.42390263,111.jpg,668849,1024x1024,3,8,0.5987,79.07654,97.60169,535.0792,711.75743,0.000456773,0.0007969
15.72772638,112.jpg,686234,1024x1024,3,9,0.56306,89.0248,101.92386,548.9872,739.93587,0.000469878,0.000861186
17.04525617,113.jpg,651270,1024x1024,3,9,0.52665,85.07425,99.9666,521.016,706.05686,0.000445159,0.000834572
18.35379921,114.jpg,547371,1024x1024,3,9,0.46751,78.60992,101.77606,437.8968,618.28277,0.000374102,0.000813603
19.65102013,115.jpg,585943,1024x1024,3,9,0.49484,76.0783,99.77563,468.7544,644.60833,0.000400391,0.000793187
20.94111183,116.jpg,591159,1024x1024,3,11,0.51354,78.47975,105.5704,472.9272,656.97735,0.000403292,0.000830109
22.24091883,117.jpg,635105,1024x1024,3,10,0.56418,73.99097,103.14332,508.084,685.21829,0.000433821,0.000798955
23.54726604,118.jpg,667394,1024x1024,3,11,0.55936,86.86912,99.60664,533.9152,720.39096,0.00045591,0.000841036
24.85798917,119.jpg,621624,1024x1024,3,11,0.50901,74.22473,104.01041,497.2992,675.53434,0.000424769,0.000803914
