Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Bin Packing Time(ms),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1.402440875,101.jpg,578153,1024x1024,2,8,0.62279,2.46121,50.33356,71.1448,462.5224,584.00076,0.00039531046417728017,0.0005482357209824026
2.43908,102.jpg,548753,1024x1024,2,6,0.60351,4.85537,43.97996,70.45942,439.0024,553.44177,0.00037735012599400005,0.0005165264828652144
3.451825125,103.jpg,518756,1024x1024,2,7,0.57709,2.52587,54.02912,71.37326,415.0048,540.40718,0.00035496787865799996,0.000565912627851218
4.467199542,104.jpg,526535,1024x1024,2,7,0.60241,2.89021,47.91357,72.05833,421.228,541.1999,0.0003605683357132794,0.0005414494330145418
5.48341475,105.jpg,476418,1024x1024,2,7,0.53792,1.6885,45.59496,69.09565,381.1344,495.82501,0.0003254607166640002,0.0005176582692541182
6.496195375,106.jpg,525931,1024x1024,2,7,0.61383,1.78917,49.17453,70.22747,420.7448,540.1468,0.0003592214773847201,0.0005388821431543678
7.515830958,107.jpg,716750,1024x1024,3,7,0.56469,2.8035,62.1997,103.85602,573.4,739.45571,0.0004898651675600006,0.0007490477668508888
8.597532625,108.jpg,723334,1024x1024,3,7,0.59524,2.36975,74.19138,99.93777,578.6672,752.79634,0.0004939743734119999,0.00078541696289815
9.69208725,109.jpg,805312,1024x1024,3,8,0.68303,2.67742,97.07568,108.44895,644.2496,849.77424,0.0005499914727727194,0.0009268473842989653
10.839520833,110.jpg,701530,1024x1024,3,8,0.6391,4.527,72.52689,105.88898,561.224,739.63987,0.00048097887015999957,0.0008047277978163212
11.950103667,111.jpg,668849,1024x1024,3,8,0.5987,2.489,72.86746,101.17863,535.0792,709.12529,0.00045701898091199904,0.00078504284873344
13.049159083,112.jpg,686234,1024x1024,3,9,0.56306,1.33629,74.2858,101.34076,548.9872,724.61377,0.00046786301995872115,0.0007921625531755388
14.148347583,113.jpg,651270,1024x1024,3,9,0.52665,2.14033,81.68509,111.38734,521.016,714.08842,0.00044476658891344,0.000870752656852454
15.258427417,114.jpg,547371,1024x1024,3,9,0.46751,2.28296,74.42292,101.52547,437.8968,613.84519,0.0003742232230612803,0.0007936122980065644
16.355576667,115.jpg,585943,1024x1024,3,9,0.49484,2.13233,71.95103,101.62888,468.7544,642.33431,0.00040032906492727893,0.0007829427778415382
17.450187417,116.jpg,591159,1024x1024,3,11,0.51354,1.77454,72.11816,102.39618,472.9272,647.44154,0.0004035724321285597,0.0007871521810192615
18.562247042,117.jpg,635105,1024x1024,3,10,0.56418,1.49821,70.7228,103.32695,508.084,682.13375,0.0004332264099532809,0.0007850592968851327
19.662512083,118.jpg,667394,1024x1024,3,11,0.55936,2.30387,77.87292,101.88773,533.9152,713.67585,0.0004558720088019993,0.000810785781513527
20.766373167,119.jpg,621624,1024x1024,3,11,0.50901,2.3175,69.61675,102.65901,497.2992,669.57496,0.00042475413367200023,0.0007770678383056074
21.865314708,120.jpg,570218,1024x1024,2,8,0.67457,1.74771,50.93202,77.444,456.1744,584.55041,0.00038930706018744,0.0005793082723554223
22.896069083,121.jpg,565861,1024x1024,2,7,0.66386,2.75796,48.89181,70.9107,452.6888,572.49132,0.0003872026166314402,0.0005406863885525614
23.923328708,122.jpg,559280,1024x1024,2,8,0.67964,1.66679,49.89917,71.36356,447.424,568.68673,0.0003817990277267215,0.000547264354941994
24.960353792,123.jpg,659165,1024x1024,3,10,0.52495,2.31,79.76834,102.62593,527.332,709.72627,0.00045028044272000124,0.0008226497299123556
26.066533667,124.jpg,689362,1024x1024,3,8,0.57183,1.32767,75.49242,100.12706,551.4896,727.10908,0.0004699831268625585,0.000792130632307753
27.173390875,125.jpg,769640,1024x1024,3,9,0.63832,2.21871,75.53543,108.19407,615.712,799.4415,0.0005253399707132808,0.0008286646329194307
28.292915667,126.jpg,778590,1024x1024,3,9,0.65125,2.14992,73.17225,101.34829,622.872,797.39254,0.0005313686321065604,0.0007871801477018743
29.408968625,127.jpg,757678,1024x1024,3,8,0.64856,2.23246,74.82597,101.52899,606.1424,782.49736,0.0005172159692772815,0.0007954438367221504
30.530614167,128.jpg,713039,1024x1024,3,8,0.59979,2.31125,74.33243,101.21132,570.4312,745.97495,0.0004869227212920016,0.0007917894857686013
31.64314375,129.jpg,780304,1024x1024,3,9,0.63522,2.38783,63.57125,96.60373,624.2432,784.41818,0.0005327366390152803,0.0007225562281534076
32.743277583,130.jpg,743342,1024x1024,3,10,0.69343,2.40987,75.00994,100.22582,594.6736,769.90936,0.0005076164871059982,0.0007904020534418523
33.849600292,131.jpg,711566,1024x1024,3,11,0.61692,2.34375,89.00062,110.17585,569.2528,768.42928,0.00048594852294800124,0.000898250188505277
34.983633208,132.jpg,642701,1024x1024,3,11,0.52315,2.31817,85.43534,101.35657,514.1608,700.95271,0.0004390897585847188,0.0008424602144103497
36.101573875,133.jpg,699082,1024x1024,3,10,0.56569,2.39812,84.94058,103.32861,559.2656,747.5348,0.00047750403244599935,0.000849115070297569
37.227049417,134.jpg,745757,1024x1024,3,10,0.62885,2.35667,79.18612,102.6633,596.6056,778.45502,0.0005092137600625576,0.000820195271729678
38.345494167,135.jpg,730167,1024x1024,3,11,0.63688,2.39383,81.75239,104.30198,584.1336,770.18797,0.0004986421624392795,0.0008391377066478133
39.468098333,136.jpg,699158,1024x1024,3,8,0.61876,2.11675,82.18992,104.39736,559.3264,745.91368,0.0004773165084039992,0.0008415383837167173
40.586332042,137.jpg,697291,1024x1024,3,7,0.60477,1.32617,79.82964,103.69319,557.8328,741.35563,0.00047537458653455864,0.0008277336394242942
41.696861292,138.jpg,725896,1024x1024,3,7,0.64327,1.04854,85.78069,102.95016,580.7168,769.44765,0.0004945936223045565,0.0008511947199732065
42.819479417,139.jpg,760087,1024x1024,3,7,0.65031,2.07804,89.22256,106.3907,608.0696,803.68287,0.0005187231184725637,0.0008821986447319388
43.972049167,140.jpg,737965,1024x1024,3,9,0.61451,2.24529,78.85322,106.01023,590.372,775.23545,0.0005038195161165611,0.0008337728528037667
45.085412167,141.jpg,648281,1024x1024,2,9,0.76913,3.03733,54.74011,70.32227,518.6248,643.68718,0.00044349627899128156,0.0005643810198497027
46.128975,142.jpg,626125,1024x1024,3,9,0.52436,2.13604,78.04486,108.71737,500.9,687.66223,0.00042766112146672315,0.0008423264937270432
47.2298115,143.jpg,662042,1024x1024,3,9,0.52808,1.19192,76.25826,110.36106,529.6336,716.25292,0.00045128662153271995,0.0008416827335014939
48.3400625,144.jpg,662021,1024x1024,3,8,0.53478,2.07071,87.60991,107.98511,529.6168,725.21182,0.0004520194518012783,0.0008821164375368506
49.484654,145.jpg,635008,1024x1024,3,9,0.50658,2.05963,66.31145,105.09168,508.0064,679.40953,0.00043363773181400095,0.0007731368097640574
50.570509667,146.jpg,641005,1024x1024,3,8,0.51086,1.58508,66.33864,105.56465,512.804,684.70729,0.0004373130228032757,0.0007753899254526943
51.660732875,147.jpg,674527,1024x1024,3,8,0.52798,1.243,75.43349,98.96728,539.6216,714.02237,0.00045982144833600207,0.0007866406059525906
52.756630542,148.jpg,708357,1024x1024,2,9,0.80985,1.366,52.86845,70.47671,566.6856,690.03076,0.00048293474825599777,0.0005566452848233283
53.79823825,149.jpg,712862,1024x1024,2,8,0.80187,1.88242,52.36357,72.92135,570.2896,695.57452,0.0004864377619727238,0.0005653835285071284
54.850401625,150.jpg,698675,1024x1024,3,8,0.53566,1.38329,79.39467,101.58309,558.94,739.91775,0.0004763644499267199,0.0008162685854498297
55.961516375,151.jpg,661386,1024x1024,2,8,0.78543,1.74125,50.4964,71.90284,529.1088,651.50804,0.0004513074785079958,0.000552384095454961
57.011072083,152.jpg,651775,1024x1024,2,9,0.78969,5.05896,57.574,72.68605,521.42,651.68005,0.00044759135178343653,0.0005877954598929733
58.050885458,153.jpg,614586,1024x1024,2,10,0.77291,1.21004,52.97097,69.96711,491.6688,614.60689,0.0004190258763147173,0.0005548114889707416
59.08445625,154.jpg,681051,1024x1024,3,9,0.58364,2.00562,68.06907,103.58762,544.8408,716.49749,0.0004649069566779961,0.0007742790721215308
60.203809,155.jpg,683281,1024x1024,3,10,0.58267,2.35158,60.26249,105.33743,546.6248,712.22472,0.00046671776177127953,0.0007469945315517485
61.294785333,156.jpg,754214,1024x1024,3,10,0.62764,1.56404,74.80292,102.25851,603.3712,780.43263,0.0005142917453387185,0.000798626343254745
62.402363958,157.jpg,727040,1024x1024,3,10,0.6183,1.45175,72.91466,100.57886,581.632,755.12553,0.000495714480900001,0.000782553637773171
63.507136167,158.jpg,801790,1024x1024,3,10,0.68678,1.583,66.67288,107.64643,641.432,815.75131,0.0005466656324000031,0.0007862736449822783
64.622608167,159.jpg,765978,1024x1024,3,10,0.67711,1.23683,91.77928,102.24259,612.7824,806.80427,0.0005220145911272861,0.0008750297363813967
65.752629375,160.jpg,730746,1024x1024,3,10,0.64175,2.30492,71.1217,100.96403,584.5968,756.68253,0.0004989603637247231,0.0007762118107073008
66.845549958,161.jpg,810477,1024x1024,4,10,0.56428,3.00196,74.80126,147.89589,648.3816,871.07876,0.00055378024651943,0.0010042061547130346
68.01004975,162.jpg,848862,1024x1024,4,9,0.59636,3.61929,103.4997,155.05036,679.0896,937.63966,0.0005804117916227289,0.0011657163227915763
69.226337375,163.jpg,801427,1024x1024,4,10,0.5504,4.76425,83.8539,153.01295,641.1416,878.00845,0.0005491233174359948,0.0010680377772200851
70.415751042,164.jpg,790612,1024x1024,3,10,0.67954,2.3585,77.25722,104.43248,632.4896,814.1793,0.0005397224606959998,0.0008194757652588188
71.541827708,165.jpg,785906,1024x1024,4,10,0.50437,2.73683,75.78863,148.20514,628.7248,852.71857,0.0005368434227614432,0.0010100471532855182
72.70515825,166.jpg,797114,1024x1024,4,10,0.49539,3.00438,93.38553,145.74748,637.6912,876.82421,0.0005446937500420029,0.0010782463799405841
73.870757917,167.jpg,734880,1024x1024,3,10,0.63333,1.18058,74.5412,101.46458,587.904,763.90979,0.000500816149083274,0.0007938708681534976
74.975336625,168.jpg,823085,1024x1024,3,10,0.67929,2.29313,75.5405,101.0566,658.468,835.0651,0.0005617526780300072,0.0007965346023730934
76.094917125,169.jpg,800445,1024x1024,3,10,0.63479,2.36304,72.11791,99.93788,640.356,812.41179,0.0005464140207467192,0.0007760769257944077
77.218669,170.jpg,824411,1024x1024,3,9,0.7339,1.86992,79.14525,101.26988,659.5288,839.94393,0.0005622947332447145,0.0008137340870074928
78.339112417,171.jpg,916267,1024x1024,5,9,0.49384,6.95038,124.41507,183.77285,733.0136,1041.20152,0.0006290877729860021,0.0013893249321334062
79.619895875,172.jpg,769885,1024x1024,3,9,0.69904,2.26075,73.86564,103.16755,615.908,792.94119,0.0005255423445000042,0.0007984990961074829
80.734332125,173.jpg,770428,1024x1024,4,9,0.52093,2.6925,94.97624,152.03602,616.3424,863.35466,0.0005262787105840078,0.0011137408472962677
81.928712083,174.jpg,695723,1024x1024,3,9,0.6589,1.51275,69.29483,99.51264,556.5784,725.38587,0.00047446677208400295,0.0007614438772518188
83.02999275,175.jpg,653668,1024x1024,2,9,0.84731,1.28562,56.77812,72.75499,522.9344,652.46751,0.00044567089645399514,0.0005845207568656654
84.076127333,176.jpg,723212,1024x1024,3,9,0.67679,1.41075,73.3006,102.79938,578.5696,754.66958,0.0004930760943559924,0.0007942951805416494
85.183362958,177.jpg,723706,1024x1024,3,10,0.67152,2.251,74.58019,104.80474,578.9648,758.34973,0.000494126424528001,0.0008090932413220406
86.30371725,178.jpg,779672,1024x1024,3,8,0.72746,2.23071,72.14098,100.43722,623.7376,796.3158,0.0005321732167292792,0.0007784302533313631
