Timestamp,File Name,File Size(Byte),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1,101_0.jpg,26014,6.86316,53.53233,20.8112,81.20669,1.7692849792000002e-05,0.00027306959456689655
2,101_1.jpg,3892,2.41767,46.27375,3.1136,51.80502,2.647058176e-06,0.0002203451082959771
3,101_2.jpg,161858,11.05024,46.10222,129.4864,186.63886,0.00011008415782400002,0.0002584604158774018
4,101_3.jpg,28530,4.4439,45.49672,22.824,72.76462,1.940405184e-05,0.00022597251374237238
5,101_4.jpg,4386,2.57335,29.32119,3.5088,35.40334,2.9830414080000004e-06,0.0001446785277556628
6,101_5.jpg,144935,14.33556,31.30439,115.948,161.58795,9.857435168e-05,0.00020659884818531571
7,101_6.jpg,130450,10.2169,36.97175,104.36,151.54865,8.87226976e-05,0.0002135754446875304
8,101_7.jpg,78088,6.26471,47.91312,62.4704,116.64822,5.310983526400001e-05,0.0002450602654900402
9,102_0.jpg,161534,10.87985,31.84258,129.2272,171.94963,0.000109863796352,0.00019345599882975218
10,102_1.jpg,14891,3.00448,36.83663,11.9128,51.75391,1.0127786048e-05,0.00018047625069729983
11,102_2.jpg,5897,2.44171,120.61358,4.7176,127.77289,4.010714816e-06,0.0005553394702348858
12,102_3.jpg,155836,13.814,52.03551,124.6688,190.51831,0.000105988427008,0.00029763888742886485
13,102_4.jpg,177196,13.04617,40.77168,141.7568,195.57465,0.000120515961088,0.00024343864680863916
14,102_5.jpg,33399,3.58177,34.23211,26.7192,64.53309,2.2715595072000002e-05,0.0001713439939625561
15,103_0.jpg,26765,4.0367,64.70337,21.412,90.15207,1.8203625920000002e-05,0.0003106602583423257
16,103_1.jpg,135348,9.6152,45.6138,108.2784,163.5074,9.2053964544e-05,0.00024979559417515995
17,103_2.jpg,15550,3.02129,34.00533,12.44,49.46662,1.05759904e-05,0.00016779750940464435
18,103_3.jpg,8694,2.86097,13.37834,6.9552,23.19451,5.9130328320000005e-06,7.415484855510294e-05
19,103_4.jpg,145391,11.27086,38.80791,116.3128,166.39157,9.8884490048e-05,0.00022659482906870542
20,103_5.jpg,125774,14.52295,26.98007,100.6192,142.12222,8.554241907200002e-05,0.00018796281332187354
21,103_6.jpg,61234,5.00875,34.86557,48.9872,88.86152,4.1646957952000006e-05,0.00018062583217322826
22,104_0.jpg,15853,3.49206,36.51009,12.6824,52.68455,1.0782069184000001e-05,0.00018120167481079695
23,104_1.jpg,118560,10.02538,38.75093,94.848,143.62431,8.063597568000001e-05,0.00022072751261442898
24,104_2.jpg,16436,4.01002,15.26579,13.1488,32.4246,1.1178583808000002e-05,8.783364628106355e-05
25,104_3.jpg,6599,2.32743,32.25498,5.2792,39.86161,4.488164672000001e-06,0.00015678685318902134
26,104_4.jpg,160750,15.35821,41.12624,128.6,185.08445,0.000109330576,0.0002554511404141784
27,104_5.jpg,162997,12.12062,40.33465,130.3976,182.85287,0.00011085882361600001,0.00023730050957538186
28,104_6.jpg,45340,4.26094,34.61697,36.272,75.14991,3.083700352e-05,0.00017613720898181198
29,105_0.jpg,11477,2.76876,40.41542,9.1816,52.36579,7.805829056000001e-06,0.00019553613307662308
