Timestamp,File Name,File Size(Byte),Transmission Time (ms),Prepocess Time(ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY),Bandwidth(Mbps)
1685696401,SEQ_01_101.jpg,642029,513.6232,141.3598,240.3137,895.2967,0.000292847,0.00118602,10
1685696402,SEQ_01_102.jpg,626688,501.3504,157.34004,280.37634,939.06678,0.00028585,0.001360022,10
1685696404,SEQ_01_103.jpg,618377,494.7016,110.17926,235.61175,840.4926,0.000282059,0.001074612,10
1685696405,SEQ_01_104.jpg,617275,493.82,148.44368,247.26847,889.53215,0.000281556,0.001229607,10
1685696406,SEQ_01_105.jpg,576756,461.4048,124.05588,250.11839,835.57907,0.000263075,0.001162736,10
1685696408,SEQ_01_106.jpg,618675,494.94,107.83702,238.20325,840.98028,0.000282195,0.001075386,10
1685696409,SEQ_01_107.jpg,728243,582.5944,122.14313,238.83149,943.56902,0.000332172,0.001121754,10
1685696410,SEQ_01_108.jpg,746674,597.3392,127.39565,244.30057,969.03542,0.000340579,0.001155042,10
1685696412,SEQ_01_109.jpg,775477,620.3816,112.72651,252.15377,985.26188,0.000353717,0.00113388,10
1685696413,SEQ_01_110.jpg,753107,602.4856,159.85318,248.4308,1010.76958,0.000343513,0.00126864,10
1685696414,SEQ_01_111.jpg,696062,556.8496,143.06097,248.85145,948.76202,0.000317493,0.00121781,10
1685696416,SEQ_01_112.jpg,747771,598.2168,109.40325,235.77045,943.3905,0.000341079,0.001072695,10
1685696417,SEQ_01_113.jpg,700295,560.236,116.53603,294.21159,970.98362,0.000319424,0.001276289,10
1685696419,SEQ_01_114.jpg,627892,502.3136,150.87618,239.23756,892.42734,0.000286399,0.001212225,10
1685696420,SEQ_01_115.jpg,663425,530.74,116.41354,240.47596,887.6295,0.000302607,0.001109071,10
1685696421,SEQ_01_116.jpg,669013,535.2104,115.77035,251.48147,902.46222,0.000305156,0.001141243,10
1685696423,SEQ_01_117.jpg,712708,570.1664,125.0253,240.91633,936.10803,0.000325086,0.001137176,10
1685696424,SEQ_01_118.jpg,743047,594.4376,106.01011,235.54996,935.99766,0.000338925,0.001061476,10
1685696425,SEQ_01_119.jpg,708131,566.5048,125.28514,284.2692,976.05914,0.000322998,0.001272584,10
1685696427,SEQ_01_120.jpg,655871,524.6968,134.20959,236.00055,894.90694,0.000299161,0.001150428,10
1685696428,SEQ_01_121.jpg,632244,505.7952,117.13821,244.41505,867.34846,0.000288384,0.001123551,10
