Timestamp,File Name,File Size(Byte),transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY),
1685000577,SEQ_01_101.jpg,642029,642.029,724.84493,3.26E-05,0.002251499,
1685000578,SEQ_01_102.jpg,626688,626.688,625.108,3.18E-05,0.001941835,
1685000580,SEQ_01_103.jpg,618377,618.377,702.86083,3.14E-05,0.002183242,
1685000582,SEQ_01_104.jpg,617275,617.275,706.66528,3.14E-05,0.002195054,
1685000584,SEQ_01_105.jpg,576756,576.756,704.17714,2.93E-05,0.002187329,
1685000585,SEQ_01_106.jpg,618675,618.675,723.21677,3.14E-05,0.002246443,
1685000587,SEQ_01_107.jpg,728243,728.243,739.3291,3.70E-05,0.002296469,
1685000589,SEQ_01_108.jpg,746674,746.674,750.20099,3.79E-05,0.002330224,
1685000591,SEQ_01_109.jpg,775477,775.477,819.61417,3.94E-05,0.002545738,
1685000593,SEQ_01_110.jpg,753107,753.107,805.78709,3.83E-05,0.002502808,
1685000595,SEQ_01_111.jpg,696062,696.062,779.16288,3.54E-05,0.002420145,
1685000596,SEQ_01_112.jpg,747771,747.771,767.35806,3.80E-05,0.002383493,
1685000598,SEQ_01_113.jpg,700295,700.295,981.62103,3.56E-05,0.003048737,
1685000600,SEQ_01_114.jpg,627892,627.892,817.20495,3.19E-05,0.002538258,
1685000602,SEQ_01_115.jpg,663425,663.425,813.61485,3.37E-05,0.002527111,
1685000604,SEQ_01_116.jpg,669013,669.013,737.35809,3.40E-05,0.002290349,
1685000606,SEQ_01_117.jpg,712708,712.708,791.72301,3.62E-05,0.002459142,
1685000608,SEQ_01_118.jpg,743047,743.047,883.94117,3.77E-05,0.002745461,
1685000610,SEQ_01_119.jpg,708131,708.131,773.75126,3.60E-05,0.002403343,
1685000612,SEQ_01_120.jpg,655871,655.871,789.28518,3.33E-05,0.002451573,
1685000613,SEQ_01_121.jpg,632244,632.244,815.87625,3.21E-05,0.002534133,
1685000615,SEQ_01_122.jpg,649051,649.051,928.97081,3.30E-05,0.002885269,
1685000617,SEQ_01_123.jpg,710348,710.348,753.52192,3.61E-05,0.002340535,
1685000619,SEQ_01_124.jpg,784908,784.908,1019.75298,3.99E-05,0.003167129,
1685000621,SEQ_01_125.jpg,859201,859.201,768.4412,4.36E-05,0.002386856,
1685000623,SEQ_01_126.jpg,867851,867.851,823.17019,4.41E-05,0.002556779,
1685000625,SEQ_01_127.jpg,836806,836.806,850.99006,4.25E-05,0.002643154,
1685000627,SEQ_01_128.jpg,811989,811.989,786.42106,4.12E-05,0.00244268,
1685000629,SEQ_01_129.jpg,848614,848.614,836.04622,4.31E-05,0.002596756,
1685000631,SEQ_01_130.jpg,807597,807.597,827.92187,4.10E-05,0.002571532,
1685000633,SEQ_01_131.jpg,781630,781.63,756.59394,3.97E-05,0.002350073,
1685000634,SEQ_01_132.jpg,719753,719.753,767.93718,3.66E-05,0.002385291,
1685000636,SEQ_01_133.jpg,765172,765.172,852.19812,3.89E-05,0.002646905,
1685000638,SEQ_01_134.jpg,791920,791.92,870.55683,4.02E-05,0.002703905,
1685000640,SEQ_01_135.jpg,807650,807.65,1125.44274,4.10E-05,0.003495275,
1685000642,SEQ_01_136.jpg,777987,777.987,818.40396,3.95E-05,0.002541981,
1685000644,SEQ_01_137.jpg,764577,764.577,792.94705,3.88E-05,0.002462942,
1685000646,SEQ_01_138.jpg,804254,804.254,761.42502,4.09E-05,0.002365072,
1685000648,SEQ_01_139.jpg,844240,844.24,748.10195,4.29E-05,0.002323707,
