Timestamp,File Name,File Size(Byte),Transmission Time (ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1685524303.5043058,SEQ_01_101.jpg,642029,64.2029,227.495,291.6979,3.26150732e-06,0.000707326476
1685524304.816981,SEQ_01_102.jpg,626688,62.6688,218.069,280.7378,3.18357504e-06,0.0006780606312000001
1685524306.088393,SEQ_01_103.jpg,618377,61.8377,217.762,279.5997,3.14135516e-06,0.0006771074576
1685524307.366275,SEQ_01_104.jpg,617275,61.7275,222.645,284.3725,3.135757e-06,0.0006922681960000001
1685524308.6485848,SEQ_01_105.jpg,576756,57.6756,216.384,274.0596,2.9299204800000003e-06,0.0006728290432
1685524309.917299,SEQ_01_106.jpg,618675,61.8675,217.308,279.1755,3.1428690000000002e-06,0.0006756978784
1685524311.1762109,SEQ_01_107.jpg,728243,72.8243,226.68,299.5043,3.69947444e-06,0.000704796064
1685524312.476448,SEQ_01_108.jpg,746674,74.6674,252.22,326.8874,3.79310392e-06,0.000784092656
1685524313.767607,SEQ_01_109.jpg,775477,77.5477,230.4,307.9477,3.93942316e-06,0.00071634592
1685524315.078382,SEQ_01_110.jpg,753107,75.3107,237.811,313.1217,3.8257835599999995e-06,0.0007393555928
1685524316.3879502,SEQ_01_111.jpg,696062,69.6062,227.956,297.5622,3.5359949599999996e-06,0.0007087577888
1685524317.683923,SEQ_01_112.jpg,747771,74.7771,219.871,294.6481,3.7986766800000003e-06,0.0006836554808000001
1685524318.983094,SEQ_01_113.jpg,700295,70.0295,236.157,306.1865,3.5574986e-06,0.0007342202536
1685524320.263933,SEQ_01_114.jpg,627892,62.7892,220.91,283.6992,3.18969136e-06,0.000686881368
1685524321.545534,SEQ_01_115.jpg,663425,66.3425,220.486,286.8285,3.370199e-06,0.0006855649327999999
1685524322.832551,SEQ_01_116.jpg,669013,66.9013,220.271,287.1723,3.39858604e-06,0.0006848974008
1685524324.120799,SEQ_01_117.jpg,712708,71.2708,223.518,294.7888,3.62055664e-06,0.0006949786864000001
1685524325.4024599,SEQ_01_118.jpg,743047,74.3047,224.762,299.0667,3.77467876e-06,0.0006988410576
1685524326.700802,SEQ_01_119.jpg,708131,70.8131,221.098,291.9111,3.5973054800000002e-06,0.0006874650704
1685524327.983167,SEQ_01_120.jpg,655871,65.5871,217.039,282.6261,3.3318246799999998e-06,0.0006748626872000001
1685524329.258147,SEQ_01_121.jpg,632244,63.2244,214.387,277.6114,3.2117995200000003e-06,0.0006666287576
1685524330.541056,SEQ_01_122.jpg,649051,64.9051,252.787,317.6921,3.29717908e-06,0.0007858530776
1685524331.853101,SEQ_01_123.jpg,710348,71.0348,217.691,288.7258,3.60856784e-06,0.0006768870168
1685524333.1439402,SEQ_01_124.jpg,784908,78.4908,219.441,297.9318,3.98733264e-06,0.0006823204168
1685524334.435222,SEQ_01_125.jpg,859201,85.9201,227.059,312.9791,4.36474108e-06,0.0007059727832000001
1685524335.7500522,SEQ_01_126.jpg,867851,86.7851,232.25,319.0351,4.40868308e-06,0.0007220898
1685524337.062708,SEQ_01_127.jpg,836806,83.6806,221.071,304.7516,4.25097448e-06,0.0006873812408
1685524338.366484,SEQ_01_128.jpg,811989,81.1989,237.593,318.7919,4.124904120000001e-06,0.0007386787464000001
1685524339.6615622,SEQ_01_129.jpg,848614,84.8614,228.029,312.8904,4.310959120000001e-06,0.0007089844392
1685524340.966486,SEQ_01_130.jpg,807597,80.7597,229.352,310.1117,4.10259276e-06,0.0007130920896000001
1685524342.280368,SEQ_01_131.jpg,781630,78.163,228.885,307.048,3.9706804e-06,0.000711642148
1685524343.567639,SEQ_01_132.jpg,719753,71.9753,259.317,331.2923,3.6563452400000003e-06,0.0008061274216
1685524344.904601,SEQ_01_133.jpg,765172,76.5172,220.171,296.6882,3.88707376e-06,0.0006845869208
1685524346.199575,SEQ_01_134.jpg,791920,79.192,238.305,317.497,4.0229536e-06,0.000740889364
1685524347.520592,SEQ_01_135.jpg,807650,80.765,223.644,304.409,4.102862e-06,0.0006953698912
1685524348.825908,SEQ_01_136.jpg,777987,77.7987,224.928,302.7267,3.9521739600000004e-06,0.0006993564544
1685524350.11819,SEQ_01_137.jpg,764577,76.4577,228.799,305.2567,3.8840511600000005e-06,0.0007113751352
1685524351.419918,SEQ_01_138.jpg,804254,80.4254,225.843,306.2684,4.08561032e-06,0.0007021973463999999
1685524352.724067,SEQ_01_139.jpg,844240,84.424,223.601,308.025,4.2887392e-06,0.0006952363848
